GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
practica-calificada-1-marckx0,com.demo.biblioteca,Aplicacion,12,0,0,0,4,0,3,0,3,0
practica-calificada-1-marckx0,data.entidades,Estudiante,47,0,0,0,10,0,7,0,7,0
practica-calificada-1-marckx0,data.entidades,Oferta,15,0,0,0,6,0,3,0,3,0
practica-calificada-1-marckx0,data.entidades,Oliver,89,0,8,0,19,0,10,0,6,0
practica-calificada-1-marckx0,data.entidades,Libro,6,21,0,0,2,8,2,3,2,3
